M,z,y
124.0131725,1.366856987,-0.022061668
126.2195484,1.370043134,-0.022111466
128.4449973,1.373229281,-0.02215904
130.6892271,1.376415428,-0.022204088
132.9527407,1.379601575,-0.022246817
135.2349365,1.382787721,-0.022286994
137.5364961,1.385973868,-0.022324642
139.8569923,1.389160015,-0.022360268
142.1966229,1.392346162,-0.022392908
144.5553279,1.395532309,-0.022423216
146.9334095,1.398718455,-0.022451151
149.3305544,1.401904602,-0.022475934
151.7469391,1.405090749,-0.022498681
154.1824917,1.408276896,-0.022518591
156.6373182,1.411463043,-0.022535911
159.1114075,1.41464919,-0.022550926
161.6045574,1.417835336,-0.022562657
164.1170103,1.421021483,-0.022572311
166.6488541,1.42420763,-0.022579181
169.2000253,1.427393777,-0.022583524
171.770319,1.430579924,-0.02258434
174.3599493,1.433766071,-0.022583434
176.9687926,1.436952217,-0.022579325
179.5970038,1.440138364,-0.022572416
182.2441756,1.443324511,-0.022562721
184.9107836,1.446510658,-0.022550407
187.5966172,1.449696805,-0.022535423
190.3016253,1.452882951,-0.022517392
193.0257436,1.456069098,-0.022496613
195.7691348,1.459255245,-0.022473057
198.5316366,1.462441392,-0.022446229
201.3131073,1.465627539,-0.022416851
204.1137842,1.468813686,-0.02238464
206.9334679,1.471999832,-0.022349341
209.7720753,1.475185979,-0.022311035
212.6297344,1.478372126,-0.022270144
215.5063821,1.481558273,-0.022225994
218.4020225,1.48474442,-0.022179188
221.3161676,1.487930567,-0.022129173
224.2494893,1.491116713,-0.022076201
227.2013231,1.49430286,-0.022020216
230.1721385,1.497489007,-0.02196105
233.1612954,1.500675154,-0.021898899
236.1690314,1.503861301,-0.021833995
239.1953981,1.507047447,-0.021765687
242.2402339,1.510233594,-0.021694142
245.3035189,1.513419741,-0.021619759
248.38498,1.516605888,-0.021542193
251.4846695,1.519792035,-0.021461661
254.6026726,1.522978182,-0.021377888
257.7385989,1.526164328,-0.021290562
260.8926943,1.529350475,-0.021200714
264.0646965,1.532536622,-0.021107247
267.2546025,1.535722769,-0.021010593
270.4621851,1.538908916,-0.020910962
273.6873039,1.542095063,-0.020808007
276.9300912,1.545281209,-0.020701939
280.1903295,1.548467356,-0.020592288
283.4679338,1.551653503,-0.02047948
286.7627705,1.55483965,-0.020363353
290.0747894,1.558025797,-0.020244103
293.4038178,1.561211943,-0.020121636
296.749726,1.56439809,-0.019995732
300.1125907,1.567584237,-0.019866157
303.4919478,1.570770384,-0.01973358
306.8879637,1.573956531,-0.019597747
310.3004308,1.577142678,-0.019458248
313.7290625,1.580328824,-0.019315383
317.1739482,1.583514971,-0.019169447
320.6348903,1.586701118,-0.019019891
324.1118026,1.589887265,-0.018866746
327.6043664,1.593073412,-0.01871027
331.1125464,1.596259559,-0.018550576
334.6362892,1.599445705,-0.018387303
338.1753541,1.602631852,-0.018220507
341.7294568,1.605817999,-0.018049938
345.2985925,1.609004146,-0.017876209
348.8827362,1.612190293,-0.01769891
352.4813072,1.615376439,-0.01751817
356.0944984,1.618562586,-0.01733374
359.7222725,1.621748733,-0.017145875
363.3639623,1.62493488,-0.016954687
367.0196761,1.628121027,-0.016759406
370.6893873,1.631307174,-0.016560869
374.372751,1.63449332,-0.016358791
378.0694932,1.637679467,-0.01615294
381.7795337,1.640865614,-0.015943726
385.5026884,1.644051761,-0.015730659
389.2388031,1.647237908,-0.015514162
392.9876489,1.650424055,-0.015293927
396.7489072,1.653610201,-0.015069769
400.5226665,1.656796348,-0.014842268
404.3085938,1.659982495,-0.014611054
408.1061109,1.663168642,-0.014376194
411.9156308,1.666354789,-0.014137521
415.7366114,1.669540935,-0.01389512
419.5689937,1.672727082,-0.013649136
423.4123236,1.675913229,-0.013399275
427.2664753,1.679099376,-0.01314588
431.131567,1.682285523,-0.012888545
435.0069362,1.68547167,-0.012627482
438.8924454,1.688657816,-0.01236284
442.7880257,1.691843963,-0.012094474
446.6933092,1.69503011,-0.01182209
450.6082829,1.698216257,-0.011546028
454.5324369,1.701402404,-0.011265997
458.4657278,1.704588551,-0.010982282
462.4078209,1.707774697,-0.010694925
466.3585311,1.710960844,-0.010403599
470.3175197,1.714146991,-0.010108254
474.2846426,1.717333138,-0.009809313
478.2597272,1.720519285,-0.009506381
482.2424273,1.723705431,-0.009199667
486.2324852,1.726891578,-0.008889042
490.2296193,1.730077725,-0.008574567
494.2337179,1.733263872,-0.008256132
498.2444983,1.736450019,-0.007933933
502.2616517,1.739636166,-0.007607692
506.2846953,1.742822312,-0.007277521
510.3138617,1.746008459,-0.006943564
514.3484727,1.749194606,-0.006605804
518.3887084,1.752380753,-0.006263924
522.4338095,1.7555669,-0.0059181
526.4835395,1.758753047,-0.005568285
530.5381518,1.761939193,-0.005214525
534.5970406,1.76512534,-0.004856751
538.6597103,1.768311487,-0.00449522
542.7263527,1.771497634,-0.004129637
546.7963684,1.774683781,-0.003760109
550.8697179,1.777869927,-0.003386375
554.9459265,1.781056074,-0.003008491
559.0248799,1.784242221,-0.002627287
563.1062064,1.787428368,-0.002241459
567.1896318,1.790614515,-0.001851705
571.2751565,1.793800662,-0.001457934
575.3619781,1.796986808,-0.001060353
579.4503133,1.800172955,-0.000658746
583.5396116,1.803359102,-0.000252663
587.6296456,1.806545249,0.00015684
591.7202367,1.809731396,0.000571051
595.8110234,1.812917543,0.000989082
599.9017798,1.816103689,0.001411248
603.9922154,1.819289836,0.001837358
608.0820006,1.822475983,0.002267372
612.1708392,1.82566213,0.002701519
616.2586304,1.828848277,0.003139882
620.3449361,1.832034423,0.003582511
624.4294587,1.83522057,0.004029155
628.5121243,1.838406717,0.004479903
632.5922759,1.841592864,0.004934826
636.6701048,1.844779011,0.005393829
640.7450144,1.847965158,0.005857066
644.8168795,1.851151304,0.006323911
648.8853641,1.854337451,0.006795384
652.9502961,1.857523598,0.007270816
657.0111309,1.860709745,0.007750657
661.0678697,1.863895892,0.008234456
665.120253,1.867082039,0.008722374
669.167713,1.870268185,0.009214338
673.210209,1.873454332,0.009710632
677.2475275,1.876640479,0.010210903
681.2794125,1.879826626,0.010715643
685.3052954,1.883012773,0.011224475
689.3250134,1.886198919,0.011737649
693.3385533,1.889385066,0.012254473
697.3454021,1.892571213,0.012775807
701.3453848,1.89575736,0.013301351
705.338558,1.898943507,0.013831052
709.324056,1.902129654,0.014365158
713.3018781,1.9053158,0.014903175
717.2717874,1.908501947,0.015445528
721.2335892,1.911688094,0.015992129
725.1869434,1.914874241,0.016543088
729.1316015,1.918060388,0.017097994
733.0674227,1.921246535,0.017656917
736.9941913,1.924432681,0.018220592
